"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1967,70,"Wesserunsett Lake, Madison","","","04/28/1967","Will","Reid","RE-0230",""
1968,70,"Wesserunsett Lake, Madison","","","04/18/1968","Fred","Hayden ","",""
1968,70,"Wesserunsett Lake, Madison","","","04/18/1968","Will","Reid","RE-0230",""
1969,70,"Wesserunsett Lake, Madison","","","05/02/1969","Fred","Hayden ","",""
1969,70,"Wesserunsett Lake, Madison","","","05/02/1969","Will","Reid","RE-0230",""
1970,70,"Wesserunsett Lake, Madison","","","05/02/1970","Fred","Hayden ","",""
1970,70,"Wesserunsett Lake, Madison","","","05/02/1970","Will","Reid","RE-0230",""
1971,70,"Wesserunsett Lake, Madison","","","05/07/1971","Fred","Hayden ","",""
1971,70,"Wesserunsett Lake, Madison","","","05/07/1971","Will","Reid","RE-0230",""
1972,70,"Wesserunsett Lake, Madison","","","05/10/1972","Fred","Hayden ","",""
1972,70,"Wesserunsett Lake, Madison","","","05/10/1972","Will","Reid","RE-0230",""
1973,70,"Wesserunsett Lake, Madison","","","04/23/1973","Fred","Hayden ","",""
1973,70,"Wesserunsett Lake, Madison","","","04/23/1973","Will","Reid","RE-0230",""
1974,70,"Wesserunsett Lake, Madison","","","04/21/1974","","Laney/Reid","",""
1974,70,"Wesserunsett Lake, Madison","","","04/21/1974","Will","Reid","RE-0230","Reid Data"
1974,70,"Wesserunsett Lake, Madison","","","04/22/1974","Fred","Hayden ","",""
1974,70,"Wesserunsett Lake, Madison","","","04/22/1974","Will","Reid","RE-0230","Hayden Data"
1975,70,"Wesserunsett Lake, Madison","","","05/01/1975","Fred","Hayden ","",""
1975,70,"Wesserunsett Lake, Madison","","","05/01/1975","","Laney/Reid","",""
1975,70,"Wesserunsett Lake, Madison","","","05/01/1975","Will","Reid","RE-0230",""
1976,70,"Wesserunsett Lake, Madison","","","04/20/1976","Fred","Hayden ","",""
1976,70,"Wesserunsett Lake, Madison","","","04/20/1976","Will","Reid","RE-0230",""
1977,70,"Wesserunsett Lake, Madison","","","04/21/1977","","Laney/Reid","",""
1977,70,"Wesserunsett Lake, Madison","","","04/21/1977","Will","Reid","RE-0230",""
1978,70,"Wesserunsett Lake, Madison","","","04/30/1978","","Laney/Reid","",""
1978,70,"Wesserunsett Lake, Madison","","","04/30/1978","Will","Reid","RE-0230","Reid Data"
1978,70,"Wesserunsett Lake, Madison","","","05/01/1978","Fred","Hayden ","",""
1978,70,"Wesserunsett Lake, Madison","","","05/01/1978","Will","Reid","RE-0230","Hayden Data"
1979,70,"Wesserunsett Lake, Madison","","","04/24/1979","Fred","Hayden ","",""
1979,70,"Wesserunsett Lake, Madison","","","04/24/1979","","Laney/Reid","",""
1979,70,"Wesserunsett Lake, Madison","","","04/24/1979","Will","Reid","RE-0230",""
1980,70,"Wesserunsett Lake, Madison","","","04/12/1980","","Laney/Reid","",""
1980,70,"Wesserunsett Lake, Madison","","","04/12/1980","Will","Reid","RE-0230","Reid Data"
1980,70,"Wesserunsett Lake, Madison","","","04/13/1980","Fred","Hayden ","",""
1980,70,"Wesserunsett Lake, Madison","","","04/13/1980","Will","Reid","RE-0230","Hayden Data"
1981,70,"Wesserunsett Lake, Madison","","","03/31/1981","Fred","Hayden ","",""
1981,70,"Wesserunsett Lake, Madison","","","03/31/1981","","Laney/Reid","",""
1981,70,"Wesserunsett Lake, Madison","","","03/31/1981","Will","Reid","RE-0230",""
1982,70,"Wesserunsett Lake, Madison","","","04/27/1982","Fred","Hayden ","",""
1982,70,"Wesserunsett Lake, Madison","","","04/27/1982","Will","Reid","RE-0230",""
1983,70,"Wesserunsett Lake, Madison","","","04/07/1983","Fred","Hayden ","",""
1983,70,"Wesserunsett Lake, Madison","","","04/07/1983","","Laney/Reid","",""
1983,70,"Wesserunsett Lake, Madison","","","04/07/1983","Will","Reid","RE-0230",""
1984,70,"Wesserunsett Lake, Madison","","","04/25/1984","Fred","Hayden ","",""
1984,70,"Wesserunsett Lake, Madison","","","04/25/1984","","Laney/Reid","",""
1984,70,"Wesserunsett Lake, Madison","","","04/25/1984","Will","Reid","RE-0230",""
1985,70,"Wesserunsett Lake, Madison","","","04/22/1985","Fred","Hayden ","",""
1985,70,"Wesserunsett Lake, Madison","","","04/22/1985","","Laney/Reid","",""
1985,70,"Wesserunsett Lake, Madison","","","04/22/1985","Will","Reid","RE-0230",""
1986,70,"Wesserunsett Lake, Madison","","11/22/1985","04/16/1986","Fred","Hayden ","",""
1986,70,"Wesserunsett Lake, Madison","","","04/16/1986","Will","Reid","RE-0230","Hayden Data"
1986,70,"Wesserunsett Lake, Madison","","","04/17/1986","","Laney/Reid","",""
1986,70,"Wesserunsett Lake, Madison","","","04/17/1986","Will","Reid","RE-0230","Reid Data"
1987,70,"Wesserunsett Lake, Madison","","11/27/1986","04/12/1987","Fred","Hayden ","",""
1987,70,"Wesserunsett Lake, Madison","","","04/12/1987","","Laney/Reid","",""
1987,70,"Wesserunsett Lake, Madison","","11/22/1986","04/12/1987","Will","Reid","RE-0230",""
1988,70,"Wesserunsett Lake, Madison","","12/06/1987","04/14/1988","Fred","Hayden ","",""
1988,70,"Wesserunsett Lake, Madison","","","04/14/1988","","Laney/Reid","",""
1988,70,"Wesserunsett Lake, Madison","","11/27/1987","04/14/1988","Will","Reid","RE-0230",""
1989,70,"Wesserunsett Lake, Madison","","11/24/1988","04/28/1989","Fred","Hayden ","",""
1989,70,"Wesserunsett Lake, Madison","","","04/28/1989","","Laney/Reid","",""
1989,70,"Wesserunsett Lake, Madison","","12/06/1988","04/28/1989","Will","Reid","RE-0230",""
1990,70,"Wesserunsett Lake, Madison","","12/06/1989","04/18/1990","Fred","Hayden ","",""
1990,70,"Wesserunsett Lake, Madison","","","04/18/1990","Will","Reid","RE-0230","Hayden Data"
1990,70,"Wesserunsett Lake, Madison","","","04/20/1990","","Laney/Reid","",""
1990,70,"Wesserunsett Lake, Madison","","11/24/1989","04/20/1990","Will","Reid","RE-0230","Reid Data"
1991,70,"Wesserunsett Lake, Madison","","","04/19/1991","Fred","Hayden ","",""
1991,70,"Wesserunsett Lake, Madison","","","04/19/1991","Will","Reid","RE-0230","Hayden Data"
1991,70,"Wesserunsett Lake, Madison","","","04/20/1991","","Laney/Reid","",""
1991,70,"Wesserunsett Lake, Madison","","12/06/1990","04/21/1991","Will","Reid","RE-0230","Reid Data"
1992,70,"Wesserunsett Lake, Madison","","12/09/1991","04/25/1992","Fred","Hayden ","",""
1992,70,"Wesserunsett Lake, Madison","","","04/25/1992","Will","Reid","RE-0230","Hayden Data"
1992,70,"Wesserunsett Lake, Madison","","","04/28/1992","","Laney/Reid","",""
1992,70,"Wesserunsett Lake, Madison","","","04/28/1992","Will","Reid","RE-0230","Reid Data"
1993,70,"Wesserunsett Lake, Madison","","12/18/1992","04/26/1993","Fred","Hayden ","",""
1993,70,"Wesserunsett Lake, Madison","","","04/26/1993","","Laney/Reid","",""
